id,competition_id,event_id,round_number,round_type_id,format,time_limit_centiseconds,time_limit_cumulative_round_ids,cutoff_attempt_result,cutoff_number_of_attempts,proceed_type,proceed_value,open,created_at,updated_at
1,UnorthodoxBlocksWisconsin2025,kilominx,1,f,a,12000,,6000,2,,,FALSE,2024-11-26T19:39:26.344Z,2025-01-31T22:37:14.208Z
2,UnorthodoxBlocksWisconsin2025,magic,1,f,a,3000,,,,,,FALSE,2024-11-26T19:39:26.348Z,2025-01-31T22:37:14.208Z
3,UnorthodoxBlocksWisconsin2025,miniguild_2_person,1,f,1,60000,,,,,,FALSE,2024-11-26T19:39:26.351Z,2025-01-31T22:37:14.208Z
4,UnorthodoxBlocksWisconsin2025,223_cuboid,1,f,a,9000,,,,,,FALSE,2024-11-26T19:39:26.359Z,2025-01-31T22:37:14.208Z
5,UnorthodoxBlocksWisconsin2025,ivy_cube,1,f,a,6000,,,,,,FALSE,2024-11-26T19:39:26.365Z,2025-01-31T22:37:14.208Z
6,UnorthodoxBlocksWisconsin2025,clock_doubles,1,f,a,12000,,3000,2,,,FALSE,2024-11-26T19:39:26.369Z,2025-01-31T22:37:14.208Z
7,ForgottenOMegaSBC2024,333_mirror_blocks,1,f,a,90000,,36000,2,,,FALSE,2024-11-26T23:14:23.617Z,2024-12-06T21:48:06.015Z
8,ForgottenOMegaSBC2024,333ft,1,f,2,90000,,36000,1,,,FALSE,2024-11-26T23:14:23.629Z,2024-12-06T21:48:06.018Z
9,NinerSpeedcubing2024,333,1,1,a,60000,,,,percentage,75,FALSE,2024-11-27T17:19:03.682Z,2024-12-16T01:12:25.408Z
10,NinerSpeedcubing2024,333,2,s,a,60000,,,,number,8,FALSE,2024-11-27T17:19:03.686Z,2024-12-16T01:12:25.408Z
11,Munich19022023,333_team_bld_old,1,f,a,,,,,,,FALSE,2023-06-29T07:10:27.469Z,2023-10-02T21:08:32.379Z
12,Munich19022023,333oh,1,f,a,,,,,,,FALSE,2023-06-29T07:10:27.473Z,2023-08-29T15:11:37.764Z
13,Munich19022023,333,1,f,a,,,,,,,FALSE,2023-06-29T07:10:27.480Z,2023-08-29T15:11:37.760Z
14,Munich19022023,333bf,1,f,3,,,,,,,FALSE,2023-06-29T07:10:27.485Z,2023-08-29T15:11:37.762Z
15,Munich14062023,444,1,f,a,,,,,,,FALSE,2023-06-29T07:34:59.285Z,2023-08-29T15:11:45.234Z
16,Munich14062023,555,1,f,a,,,,,,,FALSE,2023-06-29T07:34:59.296Z,2023-08-29T15:11:45.236Z
17,Munich14062023,333bf,1,f,3,,,,,,,FALSE,2023-06-29T07:34:59.303Z,2023-08-29T15:11:45.237Z
18,Munich14062023,333fm,1,f,m,,,,,,,FALSE,2023-06-29T07:34:59.319Z,2023-08-29T15:11:45.238Z
19,Munich14062023,333oh,1,f,a,,,,,,,FALSE,2023-06-29T07:34:59.332Z,2023-08-29T15:11:45.239Z
20,Munich14062023,222,1,f,a,,,,,,,FALSE,2023-06-29T07:34:59.340Z,2023-08-29T15:11:45.233Z
21,Munich14062023,333,1,f,a,,,,,,,FALSE,2023-06-29T07:34:59.355Z,2023-08-29T15:11:45.231Z
22,Munich27062023,666,1,f,m,,,,,,,FALSE,2023-06-29T09:20:42.355Z,2023-08-29T15:12:02.349Z
23,Munich27062023,333_team_bld_old,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.390Z,2023-10-02T21:08:32.379Z
24,Munich27062023,333,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.401Z,2023-08-29T15:12:02.328Z
25,Munich27062023,333oh,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.409Z,2023-08-29T15:12:02.365Z
26,Munich27062023,222,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.415Z,2023-08-29T15:12:02.332Z
27,Munich27062023,444,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.425Z,2023-08-29T15:12:02.341Z
28,Munich27062023,333bf,1,f,3,,,,,,,FALSE,2023-06-29T09:20:42.430Z,2023-08-29T15:12:02.356Z
29,Munich27062023,333_team_factory,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.434Z,2023-09-22T22:24:25.364Z
30,Munich27062023,555,1,f,a,,,,,,,FALSE,2023-06-29T09:20:42.439Z,2023-08-29T15:12:02.345Z
