id,name,localized_name,region_code,wca_id,approved,created_at,updated_at
54,Dominic Redisi,,US,2019REDI02,TRUE,2023-08-04T11:49:58.100Z,2023-08-04T11:49:58.100Z
55,Brayden Adams,,US,2018ADAM06,TRUE,2023-08-04T12:10:41.940Z,2023-08-04T12:10:41.940Z
56,Lucas Garron,,DE,2006GARR01,TRUE,2023-08-04T12:11:23.652Z,2023-08-04T12:11:23.652Z
57,Estevan Lujan,,US,2018LUJA01,TRUE,2023-08-04T12:12:20.965Z,2023-08-04T12:12:20.965Z
58,Cade Beck,,US,2018BECK05,TRUE,2023-08-04T12:13:37.312Z,2023-08-04T12:13:37.312Z
59,Jacob Ambrose,,US,2010AMBR01,TRUE,2023-08-04T12:14:08.821Z,2023-08-04T12:14:08.821Z
60,Eli Ozsvath,,US,2022OZSV01,TRUE,2023-08-04T12:14:33.163Z,2024-11-08T20:08:36.166Z
61,Alison Meador,,US,2017MEAD01,TRUE,2023-08-04T12:14:50.792Z,2023-08-04T12:14:50.792Z
62,Lucas Nieuwland,,CA,2018NIEU01,TRUE,2023-08-04T12:15:30.585Z,2023-08-04T12:15:30.585Z
63,Sonja Black,,US,2019BLAC02,TRUE,2023-08-04T12:16:03.580Z,2023-08-04T12:16:03.580Z
64,Currin Wilson,,US,2018WILS11,TRUE,2023-08-04T12:16:20.409Z,2023-08-04T12:16:20.409Z
65,Brandon Buchalter,,US,2017BUCH02,TRUE,2023-08-04T12:16:37.570Z,2023-08-04T12:16:37.570Z
66,Draco Tong,,US,2020TONG02,TRUE,2023-08-04T12:16:59.785Z,2023-08-04T12:16:59.785Z
67,Mariana K. Lee,,US,2017LEEM04,TRUE,2023-08-04T12:17:21.259Z,2025-08-13T05:10:40.200Z
68,Joshua Feran,,US,2011FERA01,TRUE,2023-08-04T17:27:34.215Z,2023-08-04T17:27:34.215Z
69,Ernie Pulchny,,US,2010PULC01,TRUE,2023-08-04T17:28:03.984Z,2023-08-04T17:28:03.984Z
70,Elijah Brown,,US,2015BROW03,TRUE,2023-08-04T17:28:18.484Z,2023-08-04T17:28:18.484Z
71,Owen Chester,,US,2016CHES01,TRUE,2023-08-04T17:28:55.896Z,2023-08-04T17:28:55.896Z
72,Daniel Porter,,US,2017PORT04,TRUE,2023-08-04T17:29:47.373Z,2023-08-04T17:29:47.373Z
73,August Barnard,,US,2022BARN21,TRUE,2023-08-04T17:30:17.581Z,2023-08-04T17:30:17.581Z
74,Caleb Trelford,,US,2015TREL02,TRUE,2023-08-04T17:31:43.100Z,2023-08-04T17:31:43.100Z
75,Daniel Mullen,,US,2016MULL04,TRUE,2023-08-04T17:32:46.692Z,2023-08-04T17:32:46.692Z
76,Simone Ohler,,DE,2014OHLE01,TRUE,2023-08-04T17:33:26.613Z,2023-08-04T17:33:26.613Z
77,Nathan Rahn,,US,2021RAHN01,TRUE,2023-08-04T17:59:29.264Z,2023-08-04T17:59:29.264Z
78,Carter Bitz,,US,2016BITZ01,TRUE,2023-08-04T17:59:52.297Z,2023-08-04T17:59:52.297Z
79,Shane Grogan,,US,2011GROG02,TRUE,2023-08-04T18:00:16.873Z,2026-03-07T19:19:48.336Z
80,Brandon Lin,林博浩,US,2011LINB01,TRUE,2023-08-04T18:01:58.788Z,2023-08-23T15:19:48.502Z
81,CJ Dresdner,,US,2019DRES01,TRUE,2023-08-04T18:05:13.191Z,2023-08-04T18:05:13.191Z
82,Annye Bennett,,US,2022BENN11,TRUE,2023-08-04T18:05:32.207Z,2023-08-04T18:05:32.207Z
83,Laura Plourde,,CA,2014PLOU01,TRUE,2023-08-04T18:05:59.493Z,2023-08-04T18:05:59.493Z
84,Edward Hollingdale,,AU,2011HOLL04,TRUE,2023-08-04T18:06:32.392Z,2023-08-04T18:06:32.392Z
85,Mason Langenderfer,,US,2013LANG03,TRUE,2023-08-04T18:07:05.701Z,2026-03-15T01:58:10.267Z
86,Chris Nankervis,,US,2016NANK01,TRUE,2023-08-04T18:07:56.899Z,2023-08-04T18:07:56.899Z
87,Nathaniel Gee,,US,2016GEEN01,TRUE,2023-08-04T18:08:12.558Z,2023-08-04T18:08:12.558Z
88,Hunter Coleman,,US,2022COLE10,TRUE,2023-08-04T18:08:30.175Z,2023-08-04T18:08:30.175Z
89,Zach Calin,,US,2018CALI04,TRUE,2023-08-04T18:09:06.962Z,2023-08-04T18:09:06.962Z
90,Jan Bentlage,,DE,2010BENT01,TRUE,2023-08-04T18:09:45.534Z,2023-08-04T18:09:45.534Z
91,Caleb Yao,,US,2018YAOC02,TRUE,2023-08-04T18:10:18.027Z,2023-08-04T18:10:18.027Z
92,Justin Sui,,US,2022SUIJ01,TRUE,2023-08-04T18:10:45.879Z,2023-08-04T18:10:45.879Z
93,Panashe Sharma,,US,2022SHAR36,TRUE,2023-08-04T18:11:09.314Z,2023-08-04T18:11:09.314Z
94,William Klauer,,US,2017KLAU01,TRUE,2023-08-04T18:11:27.423Z,2023-08-04T18:11:27.423Z
95,Arjun Srinath,,US,2022SRIN07,TRUE,2023-08-04T18:11:56.939Z,2023-08-04T18:11:56.939Z
96,Caiti Howe,,US,2015HOWE01,TRUE,2023-08-04T18:12:19.707Z,2023-08-04T18:12:19.707Z
97,Jared Stinson,,US,2014STIN01,TRUE,2023-08-04T18:12:40.954Z,2023-08-04T18:12:40.954Z
98,Brayden Wroten,,US,2018WROT01,TRUE,2023-08-04T18:13:13.973Z,2023-08-04T18:13:13.973Z
99,Xavier Ye,,US,2021YEXA01,TRUE,2023-08-04T18:14:07.414Z,2023-08-04T18:14:07.414Z
100,Peter Still,,AU,2005STIL01,TRUE,2023-08-04T18:14:40.522Z,2023-08-04T18:14:40.522Z
101,Livia Kleiner,,US,2013KLEI03,TRUE,2023-08-04T18:15:20.867Z,2023-08-04T18:15:20.867Z
102,Zach Ridall,,US,2018RIDA01,TRUE,2023-08-04T18:16:26.255Z,2023-08-04T18:16:26.255Z
103,Alex Maass,,US,2011MAAS01,TRUE,2023-08-04T18:17:12.031Z,2023-08-04T18:17:12.031Z
104,Cady Shields,,US,2014SHIE03,TRUE,2023-08-04T18:17:31.763Z,2023-08-04T18:17:31.763Z
105,Michael Conard,,US,2013CONA01,TRUE,2023-08-04T18:17:49.180Z,2023-08-04T18:17:49.180Z
106,Sam Richard,,US,2014RICH04,TRUE,2023-08-04T18:18:17.332Z,2023-08-04T18:18:17.332Z
107,Erik Swanson,,US,2022SWAN02,TRUE,2023-08-04T18:18:36.872Z,2023-08-04T18:18:36.872Z
108,Lucas Stambaugh,,US,2018STAM01,TRUE,2023-08-04T18:19:12.421Z,2023-08-04T18:19:12.421Z
109,Miles Reavis,,US,2022REAV01,TRUE,2023-08-04T18:19:31.462Z,2023-08-04T18:19:31.462Z
110,Magnius Cikotas,,US,2022CIKO01,TRUE,2023-08-04T18:20:12.501Z,2023-08-04T18:20:12.501Z
111,Michael K. Lee,,US,2021LEEM01,TRUE,2023-08-04T18:24:02.448Z,2023-08-04T18:24:02.448Z
112,John Wanger II,,US,2022WANG39,TRUE,2023-08-04T18:24:46.703Z,2023-08-04T18:24:46.703Z
113,Dylan Cossin,,US,2016COSS01,TRUE,2023-08-04T18:25:03.539Z,2023-08-04T18:25:03.539Z
114,Patrick Kleverlaan,,AU,2019KLEV01,TRUE,2023-08-04T18:25:46.756Z,2023-08-04T18:25:46.756Z
115,Lucas Lippman-Bruno,,US,2022LIPP01,TRUE,2023-08-04T18:26:47.118Z,2023-08-04T18:26:47.118Z
116,Jaylen Daley,,US,2018DALE04,TRUE,2023-08-04T18:27:40.375Z,2023-08-04T18:27:40.375Z
117,Taj Bressert,,US,2023BRES01,TRUE,2023-08-04T18:27:57.894Z,2023-08-04T18:27:57.894Z
118,Jack Pfeifer,,US,2016PFEI01,TRUE,2023-08-04T18:28:16.954Z,2023-08-04T18:28:16.954Z
119,Calix Tang,,US,2015TANG04,TRUE,2023-08-04T18:30:11.761Z,2023-08-04T18:30:11.761Z
120,Tommy Cherry,,US,2015CHER07,TRUE,2023-08-04T18:31:00.980Z,2023-08-04T18:31:00.980Z
121,Patrick Ponce,,US,2012PONC02,TRUE,2023-08-04T18:31:37.672Z,2023-08-04T18:31:37.672Z
122,Eva Kato,加藤映葉,JP,2013KATO01,TRUE,2023-08-04T18:32:14.901Z,2024-12-03T12:20:19.517Z
123,Daniel Greigg,,US,2015GREI01,TRUE,2023-08-04T18:32:33.109Z,2023-08-04T18:32:33.109Z
124,Liam Chen,,US,2014CHEN37,TRUE,2023-08-04T18:32:53.473Z,2023-08-04T18:32:53.473Z
125,Luke Garrett,,US,2017GARR05,TRUE,2023-08-04T18:33:10.717Z,2023-08-04T18:33:10.717Z
126,Max Siauw,,US,2017SIAU02,TRUE,2023-08-04T18:33:35.838Z,2023-08-04T18:33:35.838Z
127,Timothy Castle,,US,2016CAST48,TRUE,2023-08-04T18:34:14.794Z,2023-08-04T18:34:14.794Z
128,Carter Thomas,,US,2018THOM29,TRUE,2023-08-04T18:34:51.390Z,2026-03-02T04:04:15.645Z
129,Henry Lichner,,US,2018LICH05,TRUE,2023-08-04T18:35:12.923Z,2023-08-04T18:35:12.923Z
130,Parker Powell,,US,2015POWE03,TRUE,2023-08-04T18:35:38.007Z,2023-08-04T18:35:38.007Z
131,Jared Balassaitis,,US,2016BALA15,TRUE,2023-08-04T18:37:55.360Z,2023-08-04T18:37:55.360Z
132,Dylan Govic,,US,2015GOVI01,TRUE,2023-08-04T18:39:07.424Z,2023-08-04T18:39:07.424Z
133,Tyler Rose,,US,2022ROSE07,TRUE,2023-08-04T18:41:18.406Z,2023-08-04T18:41:18.406Z
134,Owen Widdis,,US,2015WIDD01,TRUE,2023-08-04T18:41:37.122Z,2023-08-04T18:41:37.122Z
135,Krish Shah-Nathwani,,US,2015SHAH09,TRUE,2023-08-04T18:42:37.571Z,2023-08-04T18:42:37.571Z
136,Oliver Phillips,,US,2021PHIL04,TRUE,2023-08-04T18:43:08.863Z,2025-06-28T20:39:48.157Z
137,Keaton Ellis,,US,2012ELLI01,TRUE,2023-08-04T18:43:36.303Z,2023-08-04T18:43:36.303Z
138,Alex Bohac,,US,2018BOHA01,TRUE,2023-08-04T18:44:25.920Z,2023-08-04T18:44:25.920Z
139,Keon Wilson,,US,2018WILS10,TRUE,2023-08-04T18:44:54.612Z,2023-08-04T18:44:54.612Z
140,Ash Black,,US,2017BLAC06,TRUE,2023-08-04T18:45:16.048Z,2023-08-04T18:45:16.048Z
141,Shaun Mack,,US,2018MACK04,TRUE,2023-08-04T18:45:34.709Z,2023-08-04T18:45:34.709Z
142,Graham Lively,,US,2018LIVE01,TRUE,2023-08-04T18:46:03.365Z,2023-08-04T18:46:03.365Z
143,Owen Brooks,,US,2016BROO08,TRUE,2023-08-04T18:46:22.905Z,2023-08-04T18:46:22.905Z
144,Alexander Persaud,,US,2019PERS02,TRUE,2023-08-04T18:46:40.746Z,2023-08-04T18:46:40.746Z
145,Joseph Ong,,US,2018ONGJ01,TRUE,2023-08-04T18:47:37.422Z,2023-08-04T18:47:37.422Z
146,David F. Andron-Silva,,US,2022SILV37,TRUE,2023-08-04T18:49:27.176Z,2025-08-13T05:10:06.268Z
147,Andrew Mao,,CA,2022MAOA01,TRUE,2023-08-04T18:49:52.571Z,2023-08-04T18:49:52.571Z
148,Michael Mao,,CA,2022MAOM01,TRUE,2023-08-04T18:50:29.264Z,2023-08-04T18:50:29.264Z
149,Evan Wright,,US,2017WRIG03,TRUE,2023-08-04T18:51:31.513Z,2023-08-04T18:51:31.513Z
150,Jack Bohning,,US,2017BOHN01,TRUE,2023-08-04T18:52:23.089Z,2023-08-04T18:52:23.089Z
151,Eric Zhao,,US,2010ZHAO19,TRUE,2023-08-04T18:52:43.810Z,2023-08-04T18:52:43.810Z
152,Bashy Carrillo,,US,2018CARR07,TRUE,2023-08-04T18:53:11.469Z,2023-08-04T18:53:11.469Z
153,Sean Cutshaw,,US,2016CUTS01,TRUE,2023-08-04T18:53:29.910Z,2023-08-04T18:53:29.910Z
154,Rafik Eskandar,,EG,2019RAGH04,TRUE,2023-08-04T18:54:43.407Z,2023-08-04T18:54:43.407Z
155,Adam Schwenn,,US,2019SCHW06,TRUE,2023-08-04T18:57:07.712Z,2023-08-04T18:57:07.712Z
156,Rex Ozsvath,,US,2022OZSV04,TRUE,2023-08-04T18:57:56.928Z,2026-03-02T00:47:12.278Z
157,Nico Ozsvath,,US,2022OZSV03,TRUE,2023-08-04T18:58:19.968Z,2026-03-02T00:47:17.484Z
158,Carter Williams,,US,2021WILL06,TRUE,2023-08-04T18:59:12.808Z,2023-08-04T18:59:12.808Z
159,Gabriel Garber Burd,,US,2019BURD02,TRUE,2023-08-04T18:59:36.764Z,2023-08-04T18:59:36.764Z
160,Wesley Chase,,US,2022CHAS02,TRUE,2023-08-04T19:16:23.629Z,2023-08-04T19:16:23.629Z
161,Peter Didden,,US,2022DIDD01,TRUE,2023-08-04T19:16:40.588Z,2023-08-04T19:16:40.588Z
162,Benjamin Graber,,US,2019GRAB01,TRUE,2023-08-04T19:18:12.994Z,2023-08-04T19:18:12.994Z
163,Faiz Wareh,,US,2019WARE01,TRUE,2023-08-04T19:18:28.735Z,2023-08-04T19:18:28.735Z
164,Ryland Wilson,,US,2015WILS05,TRUE,2023-08-04T19:19:38.510Z,2023-08-04T19:19:38.510Z
165,Ben MacGregor,,US,2015MACG02,TRUE,2023-08-04T19:19:53.359Z,2023-08-04T19:19:53.359Z
166,Tyler Kochy,,US,2017KOCH08,TRUE,2023-08-04T19:20:10.606Z,2023-08-04T19:20:10.606Z
167,Sameer Sethuram,,US,2017SETH03,TRUE,2023-08-04T19:20:29.249Z,2023-08-04T19:20:29.249Z
168,Keenan Darkins,,US,2019DARK02,TRUE,2023-08-04T19:20:47.490Z,2023-08-04T19:20:47.490Z
169,Carson Miller,,US,2017MILL02,TRUE,2023-08-04T19:21:06.349Z,2023-08-04T19:21:06.349Z
170,Ryan Schell,,US,2018SCHE09,TRUE,2023-08-04T19:21:51.108Z,2023-08-04T19:21:51.108Z
171,Alex Aguayo,,US,2022AGUA01,TRUE,2023-08-04T19:22:06.705Z,2023-08-04T19:22:06.705Z
172,Luke Ripperger,,US,2022RIPP01,TRUE,2023-08-04T19:22:22.685Z,2023-08-04T19:22:22.685Z
173,Andrew Joshua,,US,2022JOSH12,TRUE,2023-08-04T19:22:40.633Z,2023-08-04T19:22:40.633Z
174,Jared Buske-Fehrle,,US,2019BUSK01,TRUE,2023-08-04T19:22:56.779Z,2023-08-04T19:22:56.779Z
175,Conan Mo,,AU,2020MOCO01,TRUE,2023-08-04T19:23:18.872Z,2023-08-04T19:23:18.872Z
176,Andrew Clippinger,,US,2016CLIP01,TRUE,2023-08-04T19:23:40.484Z,2023-08-04T19:23:40.484Z
177,Ant Irizarry,,US,2016IRIZ02,TRUE,2023-08-04T19:23:59.243Z,2023-08-04T19:23:59.243Z
178,Ashley Gray,,US,2017GRAY02,TRUE,2023-08-04T19:24:15.106Z,2023-08-04T19:24:15.106Z
